rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,RxMAC,SeqNum,GpsLon,GpsLat,CamLon,CamLat,Timestamp
1549879527561654965,,16,,1549879525,912847047,'',"""4c",16,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879525912
1549879527683184724,,17,,1549879525,986505479,'',"""4c",17,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879525986
1549879527804592797,,18,,1549879526,11754186,'',"""4c",18,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879526011
1549879527915836912,,19,,1549879526,50791929,'',"""4c",19,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879526050
1549879528027101605,,20,,1549879526,83905570,'',"""4c",20,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879526083
1549879528158723948,,21,,1549879526,102164345,'',"""4c",21,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879526102
1549879528300651355,,22,,1549879526,113879710,'',"""4c",22,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879526113
1549879528421972777,,23,,1549879526,167473011,'',"""4c",23,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879526167
1549879528563566548,,24,,1549879526,176216739,'',"""4c",24,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879526176
1549879528695098273,,25,,1549879526,216874758,'',"""4c",25,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879526216
1549879528817015586,,26,,1549879526,269954216,'',"""4c",26,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879526269
1549879528958837193,,27,,1549879526,284432071,'',"""4c",27,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879526284
1549879529070332656,,28,,1549879526,341394442,'',"""4c",28,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879526341
1549879529181580469,,29,,1549879526,379222740,'',"""4c",29,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879526379
1549879529303351967,,30,,1549879526,404467563,'',"""4c",30,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879526404
1549879529425149892,,31,,1549879526,424684729,'',"""4c",31,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879526424
1549879529546773375,,32,,1549879526,455381014,'',"""4c",32,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879526455
1549879529688965300,,33,,1549879526,476216968,'',"""4c",33,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879526476
